Offset,Length,Encoding,Context,Text
$0ad971,4,dq3_jp,Bank $15 at $d971,[CTRL][$96][$a2][$88]
$0ad992,4,ascii,Bank $15 at $d992,"k""{x"
$0ada68,4,dq3_jp,Bank $15 at $da68,[CTRL][$da][$ad]R
$0ada76,4,dq3_jp,Bank $15 at $da76,[CTRL][$da][$ca][$b0]
$0adf20,4,ascii,Bank $15 at $df20,"k""Yw"
$0adf25,4,ascii,Bank $15 at $df25,"k""Nw"
$0aee1b,4,ascii,Bank $15 at $ee1b,"6k"">"
$0aef24,4,ascii,Bank $15 at $ef24,"k""Z "
$0aef2b,4,ascii,Bank $15 at $ef2b,V5) 
$0aefcb,4,ascii,Bank $15 at $efcb,"k""Sz"
$0af007,4,dq3_jp,Bank $15 at $f007,[CTRL][$96][$a2][$d1]
$0af028,4,dq3_jp,Bank $15 at $f028,[CTRL][$96][$a2][$d1]
$0af049,4,dq3_jp,Bank $15 at $f049,[CTRL][$96][$a2][$d1]
$0af0ab,4,ascii,Bank $15 at $f0ab,">4""J"
$0af10a,4,ascii,Bank $15 at $f10a,B5) 
$0af153,4,dq3_jp,Bank $15 at $f153,[CTRL][$96][$a2][$a5]
$0af1b2,4,dq3_jp,Bank $15 at $f1b2,[CTRL][$96][$a2]F
$0af1c8,4,dq3_jp,Bank $15 at $f1c8,[CTRL][$96][$a2]G
$0af223,4,dq3_jp,Bank $15 at $f223,[CTRL][$96][$a2]H
$0af23c,4,dq3_jp,Bank $15 at $f23c,[CTRL][$96][$a2]I
$0af305,4,ascii,Bank $15 at $f305,"k""s%"
$0af30a,4,ascii,Bank $15 at $f30a,"k""Z&"
$0af3bd,10,dq3_jp,Bank $15 at $f3bd,[CTRL][$99][$c7]L[$de][$f3][$ad]I[$c1][$c9]
$0b0077,4,dq3_jp,Bank $16 at $8077,[CTRL][$c1][$cd]k
$0b016c,4,ascii,Bank $16 at $816c,G5) 
$0b021c,4,dq3_jp,Bank $16 at $821c,[CTRL][$d3][$cc]k
$0b028b,4,ascii,Bank $16 at $828b,G5)@
$0b02d8,6,dq3_jp,Bank $16 at $82d8,[CTRL][$d3][$cc]k[$ad]A
$0b0313,4,dq3_jp,Bank $16 at $8313,[CTRL][$c1][$cd]k
$0b0428,3,dq3_jp,Bank $16 at $8428,[CTRL][$cc][$b0]
$0b0452,3,dq3_jp,Bank $16 at $8452,[CTRL][$d6][$cd]
$0b0474,3,dq3_jp,Bank $16 at $8474,[CTRL][$d3][$cc]
$0b047d,4,ascii,Bank $16 at $847d,H5)@
$0b049c,3,dq3_jp,Bank $16 at $849c,[CTRL][$cc][$b0]
$0b04ee,4,ascii,Bank $16 at $84ee,H5)@
$0b0539,4,ascii,Bank $16 at $8539,>4LF
$0b0546,4,ascii,Bank $16 at $8546,"hkH"""
$0b054e,3,dq3_jp,Bank $16 at $854e,[CTRL][$d7][$cc]
$0b056e,3,dq3_jp,Bank $16 at $856e,[CTRL][$d7][$cc]
$0b058b,3,dq3_jp,Bank $16 at $858b,[CTRL][$d7][$cc]
$0b05a8,3,dq3_jp,Bank $16 at $85a8,[CTRL][$d7][$cc]
$0b05c5,3,dq3_jp,Bank $16 at $85c5,[CTRL][$d7][$cc]
$0b0616,4,ascii,Bank $16 at $8616,H5L!
$0b07d1,3,dq3_jp,Bank $16 at $87d1,[CTRL][$cc][$b0]
$0b07e9,4,ascii,Bank $16 at $87e9,"hk"" "
$0b07ed,3,dq3_jp,Bank $16 at $87ed,[CTRL][$cc][$b0]
$0b0805,4,ascii,Bank $16 at $8805,"I5k"""
$0b0813,3,dq3_jp,Bank $16 at $8813,[CTRL][$cc][$b0]
$0b084b,3,dq3_jp,Bank $16 at $884b,[CTRL][$cc][$b0]
$0b0872,3,dq3_jp,Bank $16 at $8872,[CTRL][$cc][$b0]
$0b088e,3,dq3_jp,Bank $16 at $888e,[CTRL][$cc][$b0]
$0b08bb,3,dq3_jp,Bank $16 at $88bb,[CTRL][$cc][$b0]
$0b0927,3,dq3_jp,Bank $16 at $8927,[CTRL][$cc][$b0]
$0b09f5,4,ascii,Bank $16 at $89f5,"+6""\"
$0b0a1b,4,ascii,Bank $16 at $8a1b,*6L2
$0b0a30,5,ascii,Bank $16 at $8a30,"*6k"">"
$0b0a59,3,dq3_jp,Bank $16 at $8a59,[CTRL][$cc][$90]
$0b0a6a,3,dq3_jp,Bank $16 at $8a6a,[CTRL][$cc][$b0]
$0b0a7d,3,dq3_jp,Bank $16 at $8a7d,[CTRL][$cc][$b0]
$0b0aa3,3,dq3_jp,Bank $16 at $8aa3,[CTRL][$cc][$b0]
$0b0ac9,4,ascii,Bank $16 at $8ac9,"6k"" "
$0b0acd,3,dq3_jp,Bank $16 at $8acd,[CTRL][$cc][$b0]
$0b0af3,3,dq3_jp,Bank $16 at $8af3,[CTRL][$cc][$b0]
$0b0b06,3,dq3_jp,Bank $16 at $8b06,[CTRL][$cc][$b0]
$0b0b22,3,dq3_jp,Bank $16 at $8b22,[CTRL][$cc][$b0]
$0b0b5c,5,dq3_jp,Bank $16 at $8b5c,[CTRL][$d3][$cc]Le
$0b0b68,3,dq3_jp,Bank $16 at $8b68,[CTRL][$cc][$b0]
$0b0b84,3,dq3_jp,Bank $16 at $8b84,[CTRL][$cc][$b0]
$0b0b97,3,dq3_jp,Bank $16 at $8b97,[CTRL][$cc][$b0]
$0b0bb3,3,dq3_jp,Bank $16 at $8bb3,[CTRL][$cc][$b0]
$0b0bc6,3,dq3_jp,Bank $16 at $8bc6,[CTRL][$cc][$b0]
$0b0be2,3,dq3_jp,Bank $16 at $8be2,[CTRL][$cc][$b0]
$0b0bfc,3,dq3_jp,Bank $16 at $8bfc,[CTRL][$cc][$90]
$0b0c39,3,dq3_jp,Bank $16 at $8c39,[CTRL][$cc][$b0]
$0b0c87,3,dq3_jp,Bank $16 at $8c87,[CTRL][$cc][$b0]
$0b0c9c,3,dq3_jp,Bank $16 at $8c9c,[CTRL][$cc][$b0]
$0b0d01,3,dq3_jp,Bank $16 at $8d01,[CTRL][$d3][$cc]
$0b0d0e,4,ascii,Bank $16 at $8d0e,I5) 
$0b0d79,4,ascii,Bank $16 at $8d79,I5) 
$0b0dd7,4,ascii,Bank $16 at $8dd7,I5) 
$0b0e81,4,ascii,Bank $16 at $8e81,"I5""\"
$0b0e8d,4,ascii,Bank $16 at $8e8d,I5)@
$0b0ecc,3,dq3_jp,Bank $16 at $8ecc,[CTRL][$cc][$b0]
$0b0eda,4,ascii,Bank $16 at $8eda,C5) 
$0b0ef4,4,ascii,Bank $16 at $8ef4,C5) 
$0b0f21,4,ascii,Bank $16 at $8f21,*6)@
$0b0f2d,3,dq3_jp,Bank $16 at $8f2d,[CTRL][$cc][$b0]
$0b0f42,3,dq3_jp,Bank $16 at $8f42,[CTRL][$cc][$b0]
$0b0f50,4,ascii,Bank $16 at $8f50,C5) 
$0b0f67,4,ascii,Bank $16 at $8f67,C5) 
$0b0f76,3,dq3_jp,Bank $16 at $8f76,[CTRL][$cc][$b0]
$0b0f92,3,dq3_jp,Bank $16 at $8f92,[CTRL][$cc][$b0]
$0b101c,4,ascii,Bank $16 at $901c,H5) 
$0b1042,4,ascii,Bank $16 at $9042,H5) 
$0b1066,4,ascii,Bank $16 at $9066,H5) 
$0b1080,4,ascii,Bank $16 at $9080,H5) 
$0b10d8,4,ascii,Bank $16 at $90d8,H5) 
$0b1112,4,ascii,Bank $16 at $9112,H5) 
$0b11ae,3,dq3_jp,Bank $16 at $91ae,[CTRL][$d3][$cc]
$0b120a,3,dq3_jp,Bank $16 at $920a,[CTRL][$cc][$b0]
$0b1230,3,dq3_jp,Bank $16 at $9230,[CTRL][$cc][$b0]
$0b124f,3,dq3_jp,Bank $16 at $924f,[CTRL][$cc][$b0]
$0b127c,4,dq3_jp,Bank $16 at $927c,[CTRL][$d8][$cc][$a2]
$0b12a7,3,dq3_jp,Bank $16 at $92a7,[CTRL][$d7][$cc]
$0b12ca,6,dq3_jp,Bank $16 at $92ca,[CTRL][$d3][$cc]k[$ad]I
$0b1362,4,ascii,Bank $16 at $9362,H5) 
$0b13f6,3,dq3_jp,Bank $16 at $93f6,[CTRL][$da][$cd]
$0b1448,3,dq3_jp,Bank $16 at $9448,[CTRL][$c5][$cd]
$0b1583,3,dq3_jp,Bank $16 at $9583,[CTRL][$d3][$cc]
$0b1657,4,ascii,Bank $16 at $9657,"$4""d"
$0b1682,4,ascii,Bank $16 at $9682,")6""Z"
$0b168f,3,dq3_jp,Bank $16 at $968f,[CTRL][$da][$cd]
$0b16d3,4,dq3_jp,Bank $16 at $96d3,[CTRL]o[$a9]@
$0b16d9,8,dq3_jp,Bank $16 at $96d9,[CTRL]o[$ae][CTRL]o[$ac][CTRL]o
$0b16e9,4,dq3_jp,Bank $16 at $96e9,[CTRL]o[$a9]_
$0b1700,3,dq3_jp,Bank $16 at $9700,[CTRL]o[$c9]
$0b170b,5,dq3_jp,Bank $16 at $970b,[CTRL]o[$ac][CTRL]o
$0b171a,3,dq3_jp,Bank $16 at $971a,[CTRL]oL
$0b181d,4,ascii,Bank $16 at $981d,J5) 
$0b1844,4,ascii,Bank $16 at $9844,J5) 
$0b1859,4,ascii,Bank $16 at $9859,J5) 
$0b189a,4,ascii,Bank $16 at $989a,J5) 
$0b18af,4,ascii,Bank $16 at $98af,J5) 
$0b18d6,4,ascii,Bank $16 at $98d6,J5) 
$0b18eb,4,ascii,Bank $16 at $98eb,J5) 
$0b190b,4,ascii,Bank $16 at $990b,J5) 
$0b1920,4,ascii,Bank $16 at $9920,J5) 
$0b1944,4,ascii,Bank $16 at $9944,J5) 
$0b195e,4,ascii,Bank $16 at $995e,J5) 
$0b198d,4,ascii,Bank $16 at $998d,J5) 
$0b19ed,4,ascii,Bank $16 at $99ed,J5) 
$0b1a1c,4,ascii,Bank $16 at $9a1c,J5) 
$0b1a5b,4,ascii,Bank $16 at $9a5b,J5) 
$0b1a99,4,ascii,Bank $16 at $9a99,J5) 
$0b1ac8,4,ascii,Bank $16 at $9ac8,J5) 
$0b1af2,4,ascii,Bank $16 at $9af2,J5) 
$0b1b4e,4,ascii,Bank $16 at $9b4e,J5) 
$0b1b72,4,ascii,Bank $16 at $9b72,J5) 
$0b1b8c,4,ascii,Bank $16 at $9b8c,J5) 
$0b1bac,4,ascii,Bank $16 at $9bac,J5) 
$0b1bc1,4,ascii,Bank $16 at $9bc1,J5) 
$0b1bdd,3,dq3_jp,Bank $16 at $9bdd,[CTRL][$d7][$cc]
$0b1c5b,4,ascii,Bank $16 at $9c5b,J5) 
$0b1c8a,4,ascii,Bank $16 at $9c8a,J5) 
$0b1ca3,4,ascii,Bank $16 at $9ca3,J5) 
$0b1cf5,4,ascii,Bank $16 at $9cf5,J5) 
$0b1d0a,4,ascii,Bank $16 at $9d0a,J5) 
$0b1d21,4,ascii,Bank $16 at $9d21,J5) 
$0b1e50,4,dq3_jp,Bank $16 at $9e50,[CTRL][$c2][$cd]k
$0b1e72,4,ascii,Bank $16 at $9e72,J5)@
$0b1ed0,3,dq3_jp,Bank $16 at $9ed0,[CTRL][$d8][$cc]
$0b1edb,4,dq3_jp,Bank $16 at $9edb,[CTRL][$d3][$cc]k
$0b1f3c,4,ascii,Bank $16 at $9f3c,)6)@
$0b1fb5,3,dq3_jp,Bank $16 at $9fb5,[CTRL][$d6][$cd]
$0b1fdc,4,dq3_jp,Bank $16 at $9fdc,[CTRL][$d3][$cc][$a9]
$0b203f,4,dq3_jp,Bank $16 at $a03f,[CTRL][$d3][$cc][$ad]
$0b204a,5,ascii,Bank $16 at $a04a,"LT ""v"
$0b20a6,4,ascii,Bank $16 at $a0a6,"L> """
$0b20b7,5,ascii,Bank $16 at $a0b7,"*6""Z{"
$0b20dc,4,ascii,Bank $16 at $a0dc,)6)@
$0b20e3,4,ascii,Bank $16 at $a0e3,"L6!"""
$0b20eb,5,dq3_jp,Bank $16 at $a0eb,[CTRL][$d6][$cd][$a9][$80]
$0b20fe,4,ascii,Bank $16 at $a0fe,"L6!"""
$0b2137,3,dq3_jp,Bank $16 at $a137,[CTRL][$d3][$cc]
$0b213e,4,ascii,Bank $16 at $a13e,L:!k
$0b2164,5,ascii,Bank $16 at $a164,Lk!8L
$0b2204,4,ascii,Bank $16 at $a204,)6)@
$0b2212,6,ascii,Bank $16 at $a212,"Lj""""e}"
$0b2222,6,ascii,Bank $16 at $a222,"+6LQ"""""
$0b2234,8,ascii,Bank $16 at $a234,"+6LQ""""z}"
$0b2246,5,ascii,Bank $16 at $a246,"+6LQ"""
$0b225d,6,ascii,Bank $16 at $a25d,"Lj""""NM"
$0b230e,4,ascii,Bank $16 at $a30e,"#""<#"
$0b2338,5,ascii,Bank $16 at $a338,"L;#k"""
$0b2346,4,ascii,Bank $16 at $a346,)6)@
$0b234d,7,ascii,Bank $16 at $a34d,"LS#Ll#"""
$0b235f,6,ascii,Bank $16 at $a35f,"Ll#""NM"
$0b23e3,4,ascii,Bank $16 at $a3e3,)6)@
$0b23fe,4,ascii,Bank $16 at $a3fe,"$""NM"
$0b2419,4,ascii,Bank $16 at $a419,"L2$"""
$0b2457,4,ascii,Bank $16 at $a457,LK$L
$0b24d1,7,ascii,Bank $16 at $a4d1,"6LK$k""j"
$0b2536,5,ascii,Bank $16 at $a536,"L*%k"""
$0b2570,4,ascii,Bank $16 at $a570,"4""*%"
$0b2579,4,ascii,Bank $16 at $a579,L?%k
$0b25b7,4,ascii,Bank $16 at $a5b7,"4""*%"
$0b25fe,4,ascii,Bank $16 at $a5fe,"4""*%"
$0b2628,5,ascii,Bank $16 at $a628,"LV&""~"
$0b2650,5,dq3_jp,Bank $16 at $a650,[CTRL][$d3][$cc]LY
$0b2672,4,ascii,Bank $16 at $a672,"k""x&"
